DAY,AREA_NAME
2020-06-14,West LA
2020-08-14,77th Street
2020-12-24,Van Nuys
2020-03-04,77th Street
2020-01-28,Central
2020-03-20,77th Street
2020-02-13,Wilshire
2020-08-01,Hollenbeck
2020-04-21,Van Nuys
2020-04-10,Northeast
2020-07-03,Hollywood
2020-01-30,Wilshire
2020-02-15,Rampart
2020-05-08,77th Street
2020-09-22,Hollenbeck
2020-08-27,77th Street
2020-09-05,West LA
2020-01-13,Rampart
2020-09-05,Rampart
2020-06-21,Harbor
2020-04-28,West LA
2020-02-06,Southwest
2020-09-09,Hollywood
2020-06-15,77th Street
2020-06-01,Hollywood
2020-12-17,Van Nuys
2020-04-17,West Valley
2020-03-10,Harbor
2020-09-14,Southwest
2020-01-20,Central
2020-12-09,Central
2020-01-31,Rampart
2020-02-17,77th Street
2020-05-31,Southwest
2020-03-30,77th Street
2020-04-16,Van Nuys
2020-11-14,West LA
2020-01-10,Harbor
2020-06-23,Hollywood
2020-04-20,Newton
2020-06-03,Harbor
2020-06-12,Van Nuys
2020-08-15,West Valley
2020-03-18,Northeast
2020-08-11,Wilshire
2020-06-24,West LA
2020-06-22,Wilshire
2020-10-24,77th Street
2020-06-20,Central
2020-03-01,Central
2020-08-17,Wilshire
2020-11-01,West LA
2020-09-07,Southwest
2020-09-17,Northeast
2020-06-06,Northeast
2020-01-04,West Valley
2020-06-25,Central
2020-11-15,Van Nuys
2020-10-06,77th Street
2020-06-14,Central
2020-05-11,77th Street
2020-03-28,Hollywood
2020-07-27,Northeast
2020-10-27,Hollenbeck
2020-01-28,Hollywood
2020-10-16,Hollywood
2020-08-22,Wilshire
2020-04-07,Newton
2020-08-31,West Valley
2020-07-17,West LA
2020-07-09,Rampart
2020-11-06,Southwest
2020-05-30,West Valley
2020-02-07,77th Street
2020-07-04,77th Street
2020-01-04,Northeast
2020-05-09,Wilshire
2020-01-05,Hollywood
2020-05-27,Hollenbeck
2020-02-22,Hollenbeck
2020-07-24,Hollywood
2020-01-07,Rampart
2020-05-22,Hollywood
2020-11-07,Southwest
2020-01-18,West LA
2020-05-10,Northeast
2020-08-16,Harbor
2020-04-07,77th Street
2020-11-05,Southwest
2020-10-03,West Valley
2020-10-14,Harbor
2020-12-11,Rampart
2020-09-21,West Valley
2020-07-30,Southwest
2020-11-14,Hollywood
2020-01-29,Newton
2020-01-21,Southwest
2020-02-09,Wilshire
2020-09-13,West LA
2020-02-10,Wilshire
2020-01-09,Hollenbeck
2020-09-30,Hollenbeck
2020-02-26,West LA
2020-09-27,Rampart
2020-07-19,West Valley
2020-01-08,Wilshire
2020-01-23,Hollenbeck
2020-02-22,West LA
2020-02-08,Wilshire
2020-08-24,Southwest
2020-09-22,West Valley
2020-12-03,West LA
2020-06-28,Hollywood
2020-08-10,Hollywood
